type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
RWLOCK, 8, 9000, 500, 500, 17291
RWLOCK, 8, 9000, 500, 500, 19176
RWLOCK, 8, 9000, 500, 500, 20578
type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
MUTEX, 8, 9000, 500, 500, 56889
MUTEX, 8, 9000, 500, 500, 32184
MUTEX, 8, 9000, 500, 500, 44044
MUTEX, 8, 9000, 500, 500, 39563
MUTEX, 8, 9000, 500, 500, 18393
MUTEX, 8, 9000, 500, 500, 20159
MUTEX, 8, 9000, 500, 500, 12966
MUTEX, 8, 9000, 500, 500, 13047
MUTEX, 8, 9000, 500, 500, 12254
MUTEX, 8, 9000, 500, 500, 12318
MUTEX, 8, 9000, 500, 500, 13256
MUTEX, 8, 9000, 500, 500, 15006
MUTEX, 8, 9000, 500, 500, 14236
MUTEX, 8, 9000, 500, 500, 16709
MUTEX, 8, 9000, 500, 500, 14917
MUTEX, 8, 9000, 500, 500, 14409
MUTEX, 8, 9000, 500, 500, 15515
MUTEX, 8, 9000, 500, 500, 15289
MUTEX, 8, 9000, 500, 500, 14588
MUTEX, 8, 9000, 500, 500, 15250
MUTEX, 8, 9000, 500, 500, 14339
MUTEX, 8, 9000, 500, 500, 13084
MUTEX, 8, 9000, 500, 500, 17174
MUTEX, 8, 9000, 500, 500, 16043
MUTEX, 8, 9000, 500, 500, 12266
MUTEX, 8, 9000, 500, 500, 12624
MUTEX, 8, 9000, 500, 500, 15144
MUTEX, 8, 9000, 500, 500, 14319
MUTEX, 8, 9000, 500, 500, 14602
MUTEX, 8, 9000, 500, 500, 15584
MUTEX, 8, 9000, 500, 500, 16088
MUTEX, 8, 9000, 500, 500, 15430
MUTEX, 8, 9000, 500, 500, 14268
MUTEX, 8, 9000, 500, 500, 13709
MUTEX, 8, 9000, 500, 500, 12964
MUTEX, 8, 9000, 500, 500, 13549
MUTEX, 8, 9000, 500, 500, 13225
MUTEX, 8, 9000, 500, 500, 25562
MUTEX, 8, 9000, 500, 500, 25892
MUTEX, 8, 9000, 500, 500, 31907
